#,Visible?,Starred?,Bio View:1107 Proteins in 1006 Clusters,Accession Number,Molecular Weight,Protein Grouping Ambiguity,Fisher's Exact Test (p-value)*(p < 0.00375),Quantitative Profile,C1,PX1-I,PX2,PX1-P
,TRUE,Empty,    Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=1,G3V1V0_HUMAN,18 kDa,TRUE,0.39,[],151,98,182,165
,TRUE,Empty,    Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,sp|P60660|MYL6_HUMAN,17 kDa,TRUE,0.39,[],151,98,182,165
,TRUE,Empty,"Cluster of ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1 (sp|P25705|ATPA_HUMAN)",sp|P25705|ATPA_HUMAN,60 kDa,TRUE,0.031,[],143,106,190,144
,TRUE,Empty,"    ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",sp|P25705|ATPA_HUMAN,60 kDa,TRUE,0.031,[],143,106,190,144
,TRUE,Empty,Beta-crystallin B2 OS=Homo sapiens OX=9606 GN=CRYBB2 PE=1 SV=2,CRBB2_HUMAN,23 kDa,,0.48,[],10,125,13,382
,TRUE,Empty,Cluster of Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1 (A0A087WVQ6_HUMAN),A0A087WVQ6_HUMAN [3],192 kDa,TRUE,0.0007,"Control high, PEX eye - bi low",173,135,125,127
,TRUE,Empty,    Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1,A0A087WVQ6_HUMAN (+2),192 kDa,TRUE,0.0007,"Control high, PEX eye - bi low",173,135,125,127
,TRUE,Empty,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,PRDX1_HUMAN,22 kDa,TRUE,0.00021,"Control high, PEX eye - bi low",205,182,142,169
,TRUE,Empty,Cluster of Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3 (TLN1_HUMAN),TLN1_HUMAN [2],270 kDa,TRUE,< 0.00010,"Control high, PEX eye - bi low",179,146,99,120
,TRUE,Empty,    Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,TLN1_HUMAN,270 kDa,TRUE,< 0.00010,"Control high, PEX eye - bi low",176,143,99,120
,TRUE,Empty,    Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4,TLN2_HUMAN,272 kDa,TRUE,0.35,[],11,9,5,
,TRUE,Empty,Cluster of Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2 (PGAM1_HUMAN),PGAM1_HUMAN [2],29 kDa,TRUE,< 0.00010,"Control high, PEX eye - bi low",139,114,87,129
,TRUE,Empty,    Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2,PGAM1_HUMAN,29 kDa,TRUE,< 0.00010,"Control high, PEX eye - bi low",139,113,87,129
,TRUE,Empty,    Phosphoglycerate mutase 2 OS=Homo sapiens OX=9606 GN=PGAM2 PE=1 SV=3,PGAM2_HUMAN,29 kDa,TRUE,0.35,[],49,36,,
,TRUE,Empty,Cluster of Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1 (A0A0G2JIW1_HUMAN),A0A0G2JIW1_HUMAN [2],70 kDa,TRUE,0.17,[],161,150,150,143
,TRUE,Empty,    Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,A0A0G2JIW1_HUMAN (+1),70 kDa,TRUE,0.17,[],151,142,144,123
,TRUE,Empty,Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,MIF_HUMAN,12 kDa,,< 0.00010,"Control high, PEX eye - bi low",127,194,68,75
,TRUE,Empty,Cluster of Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2 (RS27A_HUMAN),RS27A_HUMAN,18 kDa,TRUE,0.002,"Control high, PEX eye - bi low",119,127,85,96
,TRUE,Empty,    Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,RS27A_HUMAN,18 kDa,TRUE,0.002,"Control high, PEX eye - bi low",119,127,85,96
,TRUE,Empty,Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1,A0A1B0GV23_HUMAN (+4),44 kDa,,0.0024,"Control high, PEX eye - bi low",130,95,93,92
,TRUE,Empty,Cluster of Histone H3.3 OS=Homo sapiens OX=9606 GN=H3F3A PE=1 SV=2 (H33_HUMAN),H33_HUMAN [3],15 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",40,147,150,58
,TRUE,Empty,    Histone H3.3 OS=Homo sapiens OX=9606 GN=H3F3A PE=1 SV=2,H33_HUMAN (+1),15 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",38,141,137,51
,TRUE,Empty,    Histone H3 OS=Homo sapiens OX=9606 GN=HIST2H3PS2 PE=1 SV=1,Q5TEC6_HUMAN,15 kDa,TRUE,0.1,[],2,46,24,29
,TRUE,Empty,Cluster of Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2 (HBA_HUMAN),HBA_HUMAN [2],15 kDa,TRUE,0.49,[],99,94,109,125
,TRUE,Empty,    Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,HBA_HUMAN,15 kDa,TRUE,0.51,[],99,88,109,125
,TRUE,Empty,"    HCG1745306, isoform CRA_a OS=Homo sapiens OX=9606 GN=HBA2 PE=1 SV=1",G3V1N2_HUMAN,12 kDa,TRUE,0.46,[],91,85,98,105
,TRUE,Empty,Cluster of Isoform 2 of Plectin OS=Homo sapiens OX=9606 GN=PLEC (sp|Q15149-2|PLEC_HUMAN),sp|Q15149-2|PLEC_HUMAN [9],518 kDa,TRUE,0.0016,"Control high, PEX eye - bi low",125,102,90,96
,TRUE,Empty,    Isoform 2 of Plectin OS=Homo sapiens OX=9606 GN=PLEC,sp|Q15149-2|PLEC_HUMAN (+8),518 kDa,TRUE,0.0016,"Control high, PEX eye - bi low",125,102,90,96
,TRUE,Empty,Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3,PRDX6_HUMAN,25 kDa,,0.044,[],77,94,113,141
,TRUE,Empty,Cluster of Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4 (sp|P24844|MYL9_HUMAN),sp|P24844|MYL9_HUMAN [4],20 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",75,47,217,106
,TRUE,Empty,    Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4,sp|P24844|MYL9_HUMAN,20 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",67,30,198,86
,TRUE,Empty,    Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=1,J3QRS3_HUMAN (+2),20 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",37,25,156,85
,TRUE,Empty,Isoform 1 of Vinculin OS=Homo sapiens OX=9606 GN=VCL,sp|P18206-2|VINC_HUMAN (+1),117 kDa,,0.17,[],82,105,103,112
,TRUE,Empty,Cluster of ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4 (ADT1_HUMAN),ADT1_HUMAN [3],33 kDa,TRUE,0.34,[],116,69,120,90
,TRUE,Empty,    ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4,ADT1_HUMAN,33 kDa,TRUE,0.45,[],73,40,83,57
,TRUE,Empty,    ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,ADT2_HUMAN,33 kDa,TRUE,0.28,[],63,39,68,46
,TRUE,Empty,    ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,ADT3_HUMAN,33 kDa,TRUE,0.21,[],75,52,79,59
,TRUE,Empty,Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=1,A0A087X0S5_HUMAN (+1),108 kDa,,< 0.00010,"Control low, PEX eye - bi high",81,77,155,74
,TRUE,Empty,Cluster of Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2 (PROF1_HUMAN),PROF1_HUMAN,15 kDa,TRUE,0.0035,"Control high, PEX eye - bi low",114,43,82,150
,TRUE,Empty,    Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2,PROF1_HUMAN,15 kDa,TRUE,0.0035,"Control high, PEX eye - bi low",114,43,82,150
,TRUE,Empty,Beta-crystallin B1 OS=Homo sapiens OX=9606 GN=CRYBB1 PE=1 SV=2,CRBB1_HUMAN,28 kDa,,0.5,[],1,52,,336
,TRUE,Empty,Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2,LUM_HUMAN,38 kDa,,< 0.00010,"Control low, PEX eye - bi high",69,47,139,127
,TRUE,Empty,Cluster of Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1 (CERU_HUMAN),CERU_HUMAN [2],122 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",70,83,139,86
,TRUE,Empty,    Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1,CERU_HUMAN,122 kDa,TRUE,0.00081,"Control low, PEX eye - bi high",69,83,135,86
,TRUE,Empty,    Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1,E9PFZ2_HUMAN,109 kDa,TRUE,0.057,[],66,74,132,83
,TRUE,Empty,Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1,RAB7A_HUMAN,23 kDa,,0.1,[],87,72,115,108
,TRUE,Empty,Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2,S10AA_HUMAN,11 kDa,,0.24,[],68,3,87,75
,TRUE,Empty,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,BIP_HUMAN,72 kDa,TRUE,0.008,[],92,114,68,116
,TRUE,Empty,Cluster of Isoform SERCA3A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3 (sp|Q93084-2|AT2A3_HUMAN),sp|Q93084-2|AT2A3_HUMAN [11],109 kDa,TRUE,0.00069,"Control low, PEX eye - bi high",81,60,146,72
,TRUE,Empty,    Isoform SERCA3A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens OX=9606 GN=ATP2A3,sp|Q93084-2|AT2A3_HUMAN (+6),109 kDa,TRUE,0.41,[],28,26,31,20
,TRUE,Empty,    Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,sp|P16615|AT2A2_HUMAN,115 kDa,TRUE,0.054,[],80,57,145,72
,TRUE,Empty,    Isoform 2 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2,sp|P16615-2|AT2A2_HUMAN,110 kDa,TRUE,0.054,[],80,58,145,70
,TRUE,Empty,    Isoform SERCA1A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 OS=Homo sapiens OX=9606 GN=ATP2A1,sp|O14983-2|AT2A1_HUMAN (+1),109 kDa,TRUE,0.37,[],33,21,58,32
,TRUE,Empty,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2,PPIB_HUMAN,24 kDa,,0.23,[],79,83,77,94
,TRUE,Empty,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,sp|P32119|PRDX2_HUMAN,22 kDa,TRUE,0.00037,"Control high, PEX eye - bi low",142,112,92,82
,TRUE,Empty,Protein S100-A1 OS=Homo sapiens OX=9606 GN=S100A1 PE=1 SV=2,S10A1_HUMAN,11 kDa,,< 0.00010,"Control low, PEX eye - bi high",65,2,159,122
,TRUE,Empty,Cluster of Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1 (sp|P11142|HSP7C_HUMAN),sp|P11142|HSP7C_HUMAN [2],71 kDa,TRUE,0.081,[],109,101,95,153
,TRUE,Empty,    Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,sp|P11142|HSP7C_HUMAN,71 kDa,TRUE,0.078,[],103,99,90,147
,TRUE,Empty,    Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1,HSP72_HUMAN,70 kDa,TRUE,0.4,[],56,42,49,80
,TRUE,Empty,Cluster of Isoform A1 of Beta-crystallin A3 OS=Homo sapiens OX=9606 GN=CRYBA1 (sp|P05813-2|CRBA1_HUMAN),sp|P05813-2|CRBA1_HUMAN [2],23 kDa,TRUE,0.5,[],,60,,266
,TRUE,Empty,    Isoform A1 of Beta-crystallin A3 OS=Homo sapiens OX=9606 GN=CRYBA1,sp|P05813-2|CRBA1_HUMAN,23 kDa,TRUE,0.5,[],,57,,266
,TRUE,Empty,    Beta-crystallin A3 OS=Homo sapiens OX=9606 GN=CRYBA1 PE=1 SV=4,sp|P05813|CRBA1_HUMAN,25 kDa,TRUE,0.5,[],,57,,262
,TRUE,Empty,Epoxide hydrolase 1 OS=Homo sapiens OX=9606 GN=EPHX1 PE=1 SV=1,HYEP_HUMAN,53 kDa,,0.44,[],66,68,69,68
,TRUE,Empty,Cluster of Isoform 3 of Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 (sp|P05023-3|AT1A1_HUMAN),sp|P05023-3|AT1A1_HUMAN [5],110 kDa,TRUE,0.23,[],85,80,80,75
,TRUE,Empty,    Isoform 3 of Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1,sp|P05023-3|AT1A1_HUMAN (+2),110 kDa,TRUE,0.19,[],85,79,76,75
,TRUE,Empty,    Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens OX=9606 GN=ATP1A2 PE=1 SV=1,AT1A2_HUMAN (+1),112 kDa,TRUE,0.45,[],37,37,35,35
,TRUE,Empty,Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3,FABP5_HUMAN,15 kDa,,0.018,[],68,57,46,140
,TRUE,Empty,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,ENPL_HUMAN,92 kDa,TRUE,0.0029,"Control high, PEX eye - bi low",83,72,56,107
,TRUE,Empty,Isoform 2 of Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1,sp|P12814-2|ACTN1_HUMAN (+1),103 kDa,TRUE,0.086,[],198,107,179,144
,TRUE,Empty,Cluster of Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3 (sp|P16152|CBR1_HUMAN),sp|P16152|CBR1_HUMAN,30 kDa,TRUE,0.00084,"Control high, PEX eye - bi low",97,64,60,100
,TRUE,Empty,    Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3,sp|P16152|CBR1_HUMAN,30 kDa,TRUE,0.00084,"Control high, PEX eye - bi low",97,64,60,100
,TRUE,Empty,"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=1",A2A274_HUMAN,88 kDa,,0.15,[],65,75,88,83
,TRUE,Empty,"Isoform Cytoplasmic+peroxisomal of Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5",sp|P30044-2|PRDX5_HUMAN (+1),17 kDa,,0.34,[],47,73,48,132
,TRUE,Empty,Isoform 2 of Transketolase OS=Homo sapiens OX=9606 GN=TKT,sp|P29401-2|TKT_HUMAN (+1),69 kDa,,< 0.00010,"Control high, PEX eye - bi low",111,62,50,75
,TRUE,Empty,Cluster of Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4 (PDIA3_HUMAN),PDIA3_HUMAN [2],57 kDa,TRUE,0.05,[],74,82,58,78
,TRUE,Empty,    Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,PDIA3_HUMAN,57 kDa,TRUE,0.13,[],64,68,54,71
,TRUE,Empty,    Protein disulfide-isomerase A3 (Fragment) OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=1,H7BZJ3_HUMAN,14 kDa,TRUE,0.23,[],14,27,9,16
,TRUE,Empty,"Cluster of Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1 (DYL2_HUMAN)",DYL2_HUMAN [2],10 kDa,TRUE,0.028,[],61,36,95,87
,TRUE,Empty,"    Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1",DYL2_HUMAN,10 kDa,TRUE,0.04,[],40,18,64,63
,TRUE,Empty,"    Dynein light chain 1, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL1 PE=1 SV=1",DYL1_HUMAN,10 kDa,TRUE,0.29,[],33,21,45,34
,TRUE,Empty,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",ECHA_HUMAN (+1),83 kDa,,0.025,[],79,45,118,62
,TRUE,Empty,Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2,CYTB_HUMAN,11 kDa,,0.009,[],78,74,54,74
,TRUE,Empty,"Cluster of Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2 (sp|P05091|ALDH2_HUMAN)",sp|P05091|ALDH2_HUMAN,56 kDa,TRUE,0.01,[],86,54,60,87
,TRUE,Empty,"    Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2",sp|P05091|ALDH2_HUMAN,56 kDa,TRUE,0.01,[],86,54,60,87
,TRUE,Empty,Cluster of Isoform 2 of Calnexin OS=Homo sapiens OX=9606 GN=CANX (sp|P27824-2|CALX_HUMAN),sp|P27824-2|CALX_HUMAN [2],72 kDa,TRUE,0.51,[],64,69,69,82
,TRUE,Empty,    Isoform 2 of Calnexin OS=Homo sapiens OX=9606 GN=CANX,sp|P27824-2|CALX_HUMAN (+1),72 kDa,TRUE,0.51,[],64,69,69,82
,TRUE,Empty,Cluster of Histone H1.4 OS=Homo sapiens OX=9606 GN=HIST1H1E PE=1 SV=2 (H14_HUMAN),H14_HUMAN [2],22 kDa,TRUE,0.057,[],48,75,74,82
,TRUE,Empty,    Histone H1.4 OS=Homo sapiens OX=9606 GN=HIST1H1E PE=1 SV=2,H14_HUMAN,22 kDa,TRUE,0.47,[],42,69,70,77
,TRUE,Empty,    Histone H1.2 OS=Homo sapiens OX=9606 GN=HIST1H1C PE=1 SV=2,H12_HUMAN,21 kDa,TRUE,0.26,[],36,57,71,79
,TRUE,Empty,Glutathione S-transferase Mu 3 OS=Homo sapiens OX=9606 GN=GSTM3 PE=1 SV=3,GSTM3_HUMAN,27 kDa,,0.0081,[],50,48,91,96
,TRUE,Empty,L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2,LDHB_HUMAN,37 kDa,TRUE,0.53,[],57,58,60,106
,TRUE,Empty,Cluster of Glutathione S-transferase Mu 2 OS=Homo sapiens OX=9606 GN=GSTM2 PE=1 SV=2 (sp|P28161|GSTM2_HUMAN),sp|P28161|GSTM2_HUMAN [3],26 kDa,TRUE,0.003,"Control high, PEX eye - bi low",83,53,56,75
,TRUE,Empty,    Glutathione S-transferase Mu 2 OS=Homo sapiens OX=9606 GN=GSTM2 PE=1 SV=2,sp|P28161|GSTM2_HUMAN,26 kDa,TRUE,0.52,[],39,33,44,58
,TRUE,Empty,    Glutathione S-transferase Mu 1 OS=Homo sapiens OX=9606 GN=GSTM1 PE=1 SV=3,sp|P09488|GSTM1_HUMAN,26 kDa,TRUE,0.00025,"Control high, PEX eye - bi low",49,20,23,27
,TRUE,Empty,    Glutathione S-transferase Mu 4 OS=Homo sapiens OX=9606 GN=GSTM4 PE=1 SV=1,A0A0A0MR85_HUMAN,26 kDa,TRUE,0.13,[],33,29,23,23
,TRUE,Empty,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,DYHC1_HUMAN,532 kDa,,0.0033,"Control high, PEX eye - bi low",101,52,72,37
,TRUE,Empty,Protein S100-B OS=Homo sapiens OX=9606 GN=S100B PE=1 SV=2,S100B_HUMAN,11 kDa,,0.25,[],66,7,82,82
,TRUE,Empty,"Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3",sp|P40926|MDHM_HUMAN,36 kDa,,0.13,[],74,61,60,71
,TRUE,Empty,Protein Niban OS=Homo sapiens OX=9606 GN=FAM129A PE=1 SV=1,NIBAN_HUMAN,103 kDa,,0.035,[],60,61,94,48
,TRUE,Empty,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3,sp|P01009|A1AT_HUMAN,47 kDa,,< 0.00010,"Control high, PEX eye - bi low",93,25,46,91
,TRUE,Empty,Cluster of Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1 (KCRB_HUMAN),KCRB_HUMAN,43 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",34,38,127,51
,TRUE,Empty,    Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1,KCRB_HUMAN,43 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",34,38,127,51
,TRUE,Empty,Isoform 2 of Collagen alpha-1(XVIII) chain OS=Homo sapiens OX=9606 GN=COL18A1,sp|P39060-1|COIA1_HUMAN (+2),154 kDa,,0.039,[],64,54,100,34
,TRUE,Empty,Acetolactate synthase-like protein OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2,ILVBL_HUMAN (+1),68 kDa,,0.43,[],72,51,79,47
,TRUE,Empty,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,A0A1C7CYX9_HUMAN (+2),74 kDa,TRUE,0.031,[],83,52,62,77
,TRUE,Empty,Isoform 2 of Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1,sp|P22314-2|UBA1_HUMAN (+1),114 kDa,,< 0.00010,"Control high, PEX eye - bi low",84,51,36,66
,TRUE,Empty,Cluster of Ras-related protein Rab-5B OS=Homo sapiens OX=9606 GN=RAB5B PE=1 SV=1 (sp|P61020|RAB5B_HUMAN),sp|P61020|RAB5B_HUMAN [5],24 kDa,TRUE,0.32,[],65,68,61,55
,TRUE,Empty,    Ras-related protein Rab-5B OS=Homo sapiens OX=9606 GN=RAB5B PE=1 SV=1,sp|P61020|RAB5B_HUMAN,24 kDa,TRUE,0.25,[],35,30,31,34
,TRUE,Empty,    Isoform 2 of Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C,sp|P51148-2|RAB5C_HUMAN (+1),27 kDa,TRUE,0.33,[],39,41,36,35
,TRUE,Empty,    Isoform 2 of Ras-related protein Rab-5A OS=Homo sapiens OX=9606 GN=RAB5A,sp|P20339-2|RAB5A_HUMAN (+1),22 kDa,TRUE,0.25,[],11,15,18,22
,TRUE,Empty,Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2,ALDOC_HUMAN,39 kDa,TRUE,0.36,[],64,68,60,88
,TRUE,Empty,Isoform 2 of NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3,sp|P00387-2|NB5R3_HUMAN (+2),32 kDa,,0.016,[],44,39,77,75
,TRUE,Empty,Cluster of Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4 (sp|P12110|CO6A2_HUMAN),sp|P12110|CO6A2_HUMAN,109 kDa,TRUE,0.046,[],54,38,88,41
,TRUE,Empty,    Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4,sp|P12110|CO6A2_HUMAN,109 kDa,TRUE,0.12,[],54,38,88,41
,TRUE,Empty,Transgelin OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=4,TAGL_HUMAN,23 kDa,,0.48,[],50,35,53,81
,TRUE,Empty,Isoform 2 of Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB,sp|Q14697-2|GANAB_HUMAN (+1),109 kDa,,0.00019,"Control high, PEX eye - bi low",71,57,34,58
,TRUE,Empty,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,sp|O43707|ACTN4_HUMAN,105 kDa,TRUE,0.011,[],175,108,142,127
,TRUE,Empty,Isoform 4 of Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1,sp|Q13228-4|SBP1_HUMAN (+1),57 kDa,,0.22,[],43,32,57,70
,TRUE,Empty,4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1,F5GZS6_HUMAN (+5),65 kDa,,0.27,[],66,47,61,39
,TRUE,Empty,Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2,sp|Q14974|IMB1_HUMAN,97 kDa,,0.44,[],54,49,56,48
,TRUE,Empty,Cytosolic non-specific dipeptidase OS=Homo sapiens OX=9606 GN=CNDP2 PE=1 SV=2,sp|Q96KP4|CNDP2_HUMAN,53 kDa,,0.12,[],65,32,50,58
,TRUE,Empty,"Cluster of Isoform 3 of ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF (sp|P56134-3|ATPK_HUMAN)",sp|P56134-3|ATPK_HUMAN [3],6 kDa,TRUE,0.33,[],59,22,71,60
,TRUE,Empty,"    Isoform 3 of ATP synthase subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF",sp|P56134-3|ATPK_HUMAN (+1),6 kDa,TRUE,0.42,[],59,22,71,59
,TRUE,Empty,    ATP5MF-PTCD1 readthrough OS=Homo sapiens OX=9606 GN=ATP5MF-PTCD1 PE=4 SV=1,G3V325_HUMAN,84 kDa,TRUE,0.42,[],59,22,69,55
,TRUE,Empty,Cluster of D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3 (sp|P30046|DOPD_HUMAN),sp|P30046|DOPD_HUMAN,13 kDa,TRUE,0.076,[],58,47,46,60
,TRUE,Empty,    D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3,sp|P30046|DOPD_HUMAN,13 kDa,TRUE,0.076,[],58,47,46,60
,TRUE,Empty,Macrophage-capping protein OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=2,sp|P40121|CAPG_HUMAN,38 kDa,,0.00038,"Control high, PEX eye - bi low",63,65,27,42
,TRUE,Empty,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,EF2_HUMAN,95 kDa,,0.28,[],48,48,45,64
